Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (min),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
2,Ref 2,868712.75,4108,0,0.0,27.0,0.0071356744,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7146@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714964,N/A,N/A,N/A,N/A,IT=80 ,221757.3,N/A,414.7146,2,27.00,20.155,1.60,N/A,N/A,N/A,211753902.3505,70201649.9009,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,93978.9,0.000,N/A,N/A,N/A
3,Ref 2,52854.715,1432,0,0.0,27.0,0.0089648059,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7360@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1185023,N/A,N/A,N/A,N/A,IT=80 ,7749.9365,N/A,410.7360,2,27.00,19.962,1.60,N/A,N/A,N/A,211753922.2507,70201663.0935,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,10599.3,0.000,N/A,N/A,N/A
4,Ref 2,51943.805,1188,0,0.0,27.0,0.010777224,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2367@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1449087,N/A,N/A,N/A,N/A,IT=80 ,11095.019,N/A,452.2367,2,27.00,21.979,1.60,N/A,N/A,N/A,211753922.0270,70201662.9430,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,11536.6,0.000,N/A,N/A,N/A
128,Ref 2,1213120.4,3972,0,0.0,27.0,0.50884897,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7133@hcd27.00 [100.0000-865.0000],On,1,60.098,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0713673,N/A,N/A,N/A,N/A,IT=60 ,311998.28,N/A,414.7133,2,27.00,20.155,1.60,N/A,N/A,N/A,211753900.6446,70201648.7633,N/A,N/A,-4.90,-0.08,-0.06,0.04,0,N/A,101126.3,0.000,N/A,N/A,N/A
130,Ref 2,73659.188,1612,0,0.0,27.0,0.51316354,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7346@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1192234,N/A,N/A,N/A,N/A,IT=80 ,8890.9453,N/A,410.7346,2,27.00,19.962,1.60,N/A,N/A,N/A,211753920.6224,70201662.0197,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,17421.8,0.000,N/A,N/A,N/A
131,Ref 2,61438.906,1308,0,0.0,27.0,0.51497591,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2352@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1445533,N/A,N/A,N/A,N/A,IT=80 ,9418.8379,N/A,452.2352,2,27.00,21.979,1.60,N/A,N/A,N/A,211753921.6829,70201662.7111,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,12978.2,0.000,N/A,N/A,N/A
198,Ref 2,30388.242,1020,0,0.0,27.0,0.78356581,100.0-1265.0,nan,FTMS + p NSI d Full ms2 610.7861@hcd27.00 [100.0000-1265.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.5692927,N/A,N/A,N/A,N/A,IT=80 ,6154.0483,N/A,0.0000,2,27.00,29.684,1.60,N/A,N/A,N/A,211753922.1868,70201663.0480,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,10867.2,0.000,N/A,N/A,N/A
255,Ref 2,1071293.0,3500,0,0.0,27.0,1.011633,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7134@hcd27.00 [100.0000-865.0000],On,1,47.374,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714597,N/A,N/A,N/A,N/A,IT=47 ,280772.06,N/A,414.7134,2,27.00,20.155,1.60,N/A,N/A,N/A,211753907.2664,70201653.1500,N/A,N/A,-4.90,-0.08,-0.04,0.04,0,N/A,72443.9,0.000,N/A,N/A,N/A
257,Ref 2,103172.93,1976,0,0.0,27.0,1.0158601,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1188117,N/A,N/A,N/A,N/A,IT=80 ,13655.47,N/A,410.7349,2,27.00,19.962,1.60,N/A,N/A,N/A,211753920.3714,70201661.8498,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,17535.6,0.000,N/A,N/A,N/A
259,Ref 2,64175.773,1536,0,0.0,27.0,1.0201121,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2355@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1456827,N/A,N/A,N/A,N/A,IT=80 ,8914.3223,N/A,452.2355,2,27.00,21.979,1.60,N/A,N/A,N/A,211753921.3209,70201662.4766,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,13557.3,0.000,N/A,N/A,N/A
331,Ref 2,53271.688,1072,0,0.0,27.0,1.3082727,100.0-1545.0,nan,FTMS + p NSI d Full ms2 498.9008@hcd27.00 [100.0000-1545.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,226.9519089,N/A,N/A,N/A,N/A,IT=80 ,21399.354,N/A,0.0000,3,27.00,22.900,1.60,N/A,N/A,N/A,211753922.1026,70201662.9958,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,10281.9,0.000,N/A,N/A,N/A
383,Ref 2,826929.25,2724,0,0.0,27.0,1.5163297,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,48.046,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714323,N/A,N/A,N/A,N/A,IT=48 ,229135.67,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753910.0958,70201655.0277,N/A,N/A,-4.90,-0.08,-0.03,0.04,0,N/A,60588.9,0.000,N/A,N/A,N/A
385,Ref 2,100399.95,1896,0,0.0,27.0,1.5205214,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7351@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1184176,N/A,N/A,N/A,N/A,IT=80 ,14149.783,N/A,410.7351,2,27.00,19.962,1.60,N/A,N/A,N/A,211753920.4385,70201661.8789,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,17254.5,0.000,N/A,N/A,N/A
387,Ref 2,69561.781,1584,0,0.0,27.0,1.5249421,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2355@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1024291,N/A,N/A,N/A,N/A,IT=80 ,8480.1191,N/A,452.2355,2,27.00,21.979,1.60,N/A,N/A,N/A,211753921.5320,70201662.6160,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,12672.7,0.000,N/A,N/A,N/A
509,Ref 2,930896.38,3528,0,0.0,27.0,2.0186409,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7135@hcd27.00 [100.0000-865.0000],On,1,52.703,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714486,N/A,N/A,N/A,N/A,IT=53 ,247792.17,N/A,414.7135,2,27.00,20.155,1.60,N/A,N/A,N/A,211753907.0639,70201653.0204,N/A,N/A,-4.90,-0.08,-0.04,0.04,0,N/A,72114.2,0.000,N/A,N/A,N/A
511,Ref 2,103623.34,1768,0,0.0,27.0,2.0227867,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1183545,N/A,N/A,N/A,N/A,IT=80 ,12701.876,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753920.0249,70201661.6170,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,17809.1,0.000,N/A,N/A,N/A
515,Ref 2,69696.031,1500,0,0.0,27.0,2.03512,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2357@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1440644,N/A,N/A,N/A,N/A,IT=80 ,10678.66,N/A,452.2357,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.9308,70201662.2155,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,14013.4,0.000,N/A,N/A,N/A
530,Ref 2,47182.398,1108,0,0.0,27.0,2.0922446,100.0-1545.0,nan,FTMS + p NSI d Full ms2 498.9009@hcd27.00 [100.0000-1545.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,226.9511885,N/A,N/A,N/A,N/A,IT=80 ,18779.434,N/A,0.0000,3,27.00,22.900,1.60,N/A,N/A,N/A,211753921.3117,70201662.4701,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,12417.8,0.000,N/A,N/A,N/A
636,Ref 2,1052075.2,4024,0,0.0,27.0,2.5205334,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,65.862,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.071479,N/A,N/A,N/A,N/A,IT=66 ,273011.97,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753901.3210,70201649.2094,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,96176.3,0.000,N/A,N/A,N/A
637,Ref 2,77366.938,1252,0,0.0,27.0,2.5226396,100.0-840.0,nan,FTMS + p NSI d Full ms2 402.2456@hcd27.00 [100.0000-840.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,402.2450287,N/A,N/A,N/A,N/A,IT=80 ,34760.582,N/A,0.0000,2,27.00,19.549,1.60,N/A,N/A,N/A,211753920.9659,70201662.2341,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,13866.5,0.000,N/A,N/A,N/A
639,Ref 2,122584.9,2004,0,0.0,27.0,2.5265333,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1192259,N/A,N/A,N/A,N/A,IT=80 ,16501.682,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753919.6109,70201661.3376,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,19543.9,0.000,N/A,N/A,N/A
644,Ref 2,66207.172,1260,0,0.0,27.0,2.5432999,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2355@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1020892,N/A,N/A,N/A,N/A,IT=80 ,11250.39,N/A,452.2355,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.7583,70201662.1029,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,14736.2,0.000,N/A,N/A,N/A
677,Ref 2,79387.883,1700,0,0.0,27.0,2.6759282,100.0-1545.0,nan,FTMS + p NSI d Full ms2 498.9008@hcd27.00 [100.0000-1545.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,226.9514802,N/A,N/A,N/A,N/A,IT=80 ,24390.189,N/A,0.0000,3,27.00,22.900,1.60,N/A,N/A,N/A,211753920.3326,70201661.8161,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,16519.9,0.000,N/A,N/A,N/A
763,Ref 2,1219204.5,4080,0,0.0,27.0,3.0225509,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,54.137,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714464,N/A,N/A,N/A,N/A,IT=54 ,312320.88,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753902.5637,70201650.0410,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,89944.1,0.000,N/A,N/A,N/A
766,Ref 2,154141.06,2368,0,0.0,27.0,3.0309112,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1187247,N/A,N/A,N/A,N/A,IT=80 ,17510.074,N/A,410.7349,2,27.00,19.962,1.60,N/A,N/A,N/A,211753919.2631,70201661.1148,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,19975.5,0.000,N/A,N/A,N/A
771,Ref 2,64817.43,1392,0,0.0,27.0,3.0475944,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1021474,N/A,N/A,N/A,N/A,IT=80 ,11679.745,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.8030,70201662.1281,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,13523.7,0.000,N/A,N/A,N/A
808,Ref 2,55633.992,1244,0,0.0,27.0,3.1944268,100.0-1185.0,nan,FTMS + p NSI d Full ms2 570.3238@hcd27.00 [100.0000-1185.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,570.3275193,N/A,N/A,N/A,N/A,IT=80 ,11165.354,N/A,0.0000,2,27.00,27.718,1.60,N/A,N/A,N/A,211753920.8188,70201662.1507,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,13457.2,0.000,N/A,N/A,N/A
890,Ref 2,1304858.4,4564,0,0.0,27.0,3.5251017,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,59.574,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714533,N/A,N/A,N/A,N/A,IT=60 ,331316.03,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753899.5368,70201648.0354,N/A,N/A,-4.90,-0.08,-0.06,0.04,0,N/A,102626.3,0.000,N/A,N/A,N/A
893,Ref 2,148143.56,2168,0,0.0,27.0,3.5333662,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7351@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1187913,N/A,N/A,N/A,N/A,IT=80 ,19212.893,N/A,410.7351,2,27.00,19.962,1.60,N/A,N/A,N/A,211753918.6412,70201660.7075,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,22581.2,0.000,N/A,N/A,N/A
898,Ref 2,77594.781,1376,0,0.0,27.0,3.5498099,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1441554,N/A,N/A,N/A,N/A,IT=80 ,13284.424,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.2042,70201661.7319,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,16032.5,0.000,N/A,N/A,N/A
925,Ref 2,40731.523,1296,0,0.0,27.0,3.6560133,100.0-1265.0,nan,FTMS + p NSI d Full ms2 610.7863@hcd27.00 [100.0000-1265.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,610.7849526,N/A,N/A,N/A,N/A,IT=80 ,6088.8022,N/A,0.0000,2,27.00,29.684,1.60,N/A,N/A,N/A,211753921.1537,70201662.3622,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,12054.3,0.000,N/A,N/A,N/A
937,Ref 2,57220.742,1348,0,0.0,27.0,3.7013838,100.0-920.0,nan,FTMS + p NSI d Full ms2 442.7085@hcd27.00 [100.0000-920.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1025933,N/A,N/A,N/A,N/A,IT=80 ,10148.222,N/A,442.7085,2,27.00,21.516,1.60,N/A,N/A,N/A,211753920.4932,70201661.9214,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,14821.4,0.000,N/A,N/A,N/A
1018,Ref 2,1230922.5,4148,0,0.0,27.0,4.0286608,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7136@hcd27.00 [100.0000-865.0000],On,1,50.834,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714844,N/A,N/A,N/A,N/A,IT=51 ,319371.75,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753903.1244,70201650.4072,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,86578.5,0.000,N/A,N/A,N/A
1021,Ref 2,186760.22,2528,0,0.0,27.0,4.0370524,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1189482,N/A,N/A,N/A,N/A,IT=80 ,20696.176,N/A,410.7349,2,27.00,19.962,1.60,N/A,N/A,N/A,211753917.7634,70201660.1148,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,25242.9,0.000,N/A,N/A,N/A
1022,Ref 2,53785.18,1276,0,0.0,27.0,4.0391753,100.0-1185.0,nan,FTMS + p NSI d Full ms2 570.3244@hcd27.00 [100.0000-1185.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,244.1655407,N/A,N/A,N/A,N/A,IT=80 ,11161.737,N/A,0.0000,2,27.00,27.718,1.60,N/A,N/A,N/A,211753920.8553,70201662.1662,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,12288.4,0.000,N/A,N/A,N/A
1026,Ref 2,61525.422,1348,0,0.0,27.0,4.0513107,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1449681,N/A,N/A,N/A,N/A,IT=80 ,9918.5625,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753919.8985,70201661.5369,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,16297.1,0.000,N/A,N/A,N/A
1145,Ref 2,1048233.0,3668,0,0.0,27.0,4.5331929,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,58.866,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714632,N/A,N/A,N/A,N/A,IT=59 ,272991.72,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753903.3989,70201650.5918,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,85428.6,0.000,N/A,N/A,N/A
1148,Ref 2,183203.47,2368,0,0.0,27.0,4.5416366,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7352@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1190846,N/A,N/A,N/A,N/A,IT=80 ,27073.646,N/A,410.7352,2,27.00,19.962,1.60,N/A,N/A,N/A,211753916.8647,70201659.5187,N/A,N/A,-4.90,-0.08,-0.02,0.04,0,N/A,29008.5,0.000,N/A,N/A,N/A
1152,Ref 2,53944.727,1200,0,0.0,27.0,4.5542594,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2359@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1440933,N/A,N/A,N/A,N/A,IT=80 ,10479.177,N/A,452.2359,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.7516,70201662.0937,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,12722.6,0.000,N/A,N/A,N/A
1270,Ref 2,1028068.2,3676,0,0.0,27.0,5.0342124,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7138@hcd27.00 [100.0000-865.0000],On,1,55.422,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714768,N/A,N/A,N/A,N/A,IT=55 ,277456.91,N/A,414.7138,2,27.00,20.155,1.60,N/A,N/A,N/A,211753904.4986,70201651.3170,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,80044.8,0.000,N/A,N/A,N/A
1273,Ref 2,248504.72,3044,0,0.0,27.0,5.0426103,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7353@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1187679,N/A,N/A,N/A,N/A,IT=80 ,29999.205,N/A,410.7353,2,27.00,19.962,1.60,N/A,N/A,N/A,211753916.0143,70201658.9593,N/A,N/A,-4.90,-0.08,-0.02,0.04,0,N/A,31795.7,0.000,N/A,N/A,N/A
1278,Ref 2,65035.445,1396,0,0.0,27.0,5.0592206,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2359@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.14451,N/A,N/A,N/A,N/A,IT=80 ,10284.823,N/A,452.2359,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.2722,70201661.7891,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,13955.4,0.000,N/A,N/A,N/A
1301,Ref 2,40195.555,1184,0,0.0,27.0,5.1495637,100.0-985.0,nan,FTMS + p NSI d Full ms2 472.2819@hcd27.00 [100.0000-985.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,147.1121661,N/A,N/A,N/A,N/A,IT=80 ,7540.1162,N/A,472.2819,2,27.00,22.953,1.60,N/A,N/A,N/A,211753920.8192,70201662.1404,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,11663.7,0.000,N/A,N/A,N/A
1397,Ref 2,1072559.8,4316,0,0.0,27.0,5.5387403,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7142@hcd27.00 [100.0000-865.0000],On,1,65.242,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714664,N/A,N/A,N/A,N/A,IT=65 ,272893.88,N/A,414.7142,2,27.00,20.155,1.60,N/A,N/A,N/A,211753900.6762,70201648.7807,N/A,N/A,-4.90,-0.08,-0.05,0.04,0,N/A,96060.1,0.000,N/A,N/A,N/A
1400,Ref 2,281120.75,2848,0,0.0,27.0,5.5471008,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7356@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,410.7349914,N/A,N/A,N/A,N/A,IT=80 ,33899.73,N/A,410.7356,2,27.00,19.962,1.60,N/A,N/A,N/A,211753915.3582,70201658.5268,N/A,N/A,-4.90,-0.08,-0.02,0.04,0,N/A,34544.7,0.000,N/A,N/A,N/A
1401,Ref 2,31311.594,1068,0,0.0,27.0,5.548911,100.0-970.0,nan,FTMS + p NSI d Full ms2 465.2746@hcd27.00 [100.0000-970.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,147.1126424,N/A,N/A,N/A,N/A,IT=80 ,5779.8101,N/A,465.2746,2,27.00,22.612,1.60,N/A,N/A,N/A,211753921.3687,70201662.4994,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,9361.4,0.000,N/A,N/A,N/A
1427,Ref 2,51220.758,1188,0,0.0,27.0,5.6515021,100.0-985.0,nan,FTMS + p NSI d Full ms2 472.2821@hcd27.00 [100.0000-985.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,147.1127245,N/A,N/A,N/A,N/A,IT=80 ,11066.861,N/A,472.2821,2,27.00,22.953,1.60,N/A,N/A,N/A,211753920.1947,70201661.7322,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,14280.2,0.000,N/A,N/A,N/A
1437,Ref 2,58889.797,1160,0,0.0,27.0,5.6885997,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2362@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1019343,N/A,N/A,N/A,N/A,IT=80 ,13272.84,N/A,452.2362,2,27.00,21.979,1.60,N/A,N/A,N/A,211753920.9800,70201662.2596,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,10990.0,0.000,N/A,N/A,N/A
1460,Ref 2,34056.039,1204,0,0.0,27.0,5.7793741,100.0-995.0,nan,FTMS + p NSI d Full ms2 479.2908@hcd27.00 [100.0000-995.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,147.1125403,N/A,N/A,N/A,N/A,IT=80 ,5145.5898,N/A,479.2908,2,27.00,23.294,1.60,N/A,N/A,N/A,211753921.0077,70201662.2688,N/A,N/A,-4.90,-0.08,-0.01,0.04,0,N/A,10873.7,0.000,N/A,N/A,N/A
1498,Ref 2,110079.37,1876,0,0.0,27.0,5.9309689,100.0-875.0,nan,FTMS + p NSI d Full ms2 419.7301@hcd27.00 [100.0000-875.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,149.0234477,N/A,N/A,N/A,N/A,IT=80 ,31448.236,N/A,419.7301,2,27.00,20.399,1.60,N/A,N/A,N/A,211753919.3252,70201661.1562,N/A,N/A,-4.91,-0.08,-0.01,0.04,0,N/A,17101.0,0.000,N/A,N/A,N/A
1526,Ref 2,983510.38,3568,0,0.0,27.0,6.0413953,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7140@hcd27.00 [100.0000-865.0000],On,1,52.838,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714631,N/A,N/A,N/A,N/A,IT=53 ,266457.72,N/A,414.7140,2,27.00,20.155,1.60,N/A,N/A,N/A,211753905.5792,70201652.0359,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,74695.0,0.000,N/A,N/A,N/A
